"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.49400111583939,0.0104454268890154,143.029206150541,0
"flavor_descrAMERICONE DREAM",-0.0270130551051626,0.00823839233578669,-3.27892312045165,0.00104366720201313
"flavor_descrBANANA SPLIT",-0.0408377431567967,0.0088887491619203,-4.594318324534,4.36588336093014e-06
"flavor_descrBLACK & TAN",-0.0769757593732323,0.0302279742900636,-2.54650737209789,0.0108874838355177
"flavor_descrBROWNIE BATTER",-0.00817889614306514,0.0138349807206472,-0.591175102315759,0.554409212294261
"flavor_descrBUTTER PECAN",-0.0130912265196078,0.0115124089067558,-1.13714050861463,0.255492009490162
"flavor_descrCAKE BATTER",-0.0385250683634815,0.00978941658509613,-3.93537939964,8.33221661910206e-05
"flavor_descrCHC",-0.00903271010502766,0.0164365137412895,-0.549551458855715,0.582632671243632
"flavor_descrCHC ALMOND NOUGAT",-0.0206583175621498,0.0150504074965509,-1.3726085201935,0.169888155798235
"flavor_descrCHC CHIP C-DH",-0.0235566077858514,0.00796381956657217,-2.95795347809352,0.00310020110732045
"flavor_descrCHC FUDGE BROWNIE",-0.0243969460937268,0.00778197298463524,-3.13505921209136,0.00172046789350003
"flavor_descrCHERRY GRCA",-0.0310569018634682,0.00729225830878237,-4.25888669166657,2.06305034190918e-05
"flavor_descrCHUBBY HUBBY",-0.00980333586521101,0.0105370038872436,-0.930372235800272,0.352188656954892
"flavor_descrCHUNKY MONKEY",-0.0370628756694074,0.00794173854198011,-4.66684661972849,3.07669689476345e-06
"flavor_descrCINNAMON BUNS",-0.0431548533518938,0.00884151232454414,-4.88093572319018,1.06327287956815e-06
"flavor_descrCOFFEE",0.0267102313040579,0.0207440546470025,1.2876089924839,0.197895731274336
"flavor_descrCREME BRULEE",-0.0476383139699858,0.00951281606998992,-5.00780353782624,5.54828730664623e-07
"flavor_descrDOUBLE CHC FUDGE SWR",0.0146749726421654,0.147451126974747,0.0995243165871407,0.920722894010522
"flavor_descrDUBLIN MUDSLIDE",-0.0143134494230961,0.0100694777884881,-1.42146889081576,0.155194749029564
"flavor_descrFOSSIL FUEL",-0.0495130095050723,0.0173354729276025,-2.85616721919568,0.00429193108043098
"flavor_descrHALF BAKED",-0.0337535235640072,0.00857840082588278,-3.93471047216236,8.35543953346315e-05
"flavor_descrHEATH CANDY EVERYTHING BUT THE",-0.0356518411567534,0.00915818364211814,-3.89289432817135,9.93492233140963e-05
"flavor_descrHEATH COFFEE CRUNCH",-0.0215017879621524,0.00791533206651699,-2.71647326750929,0.00660333914609225
"flavor_descrHEATH CRUNCH",-0.00270502811610837,0.0092996773506963,-0.290873329697383,0.771150957610452
"flavor_descrIMAGINE WHIRLED PEACE",-0.0411507993607502,0.00884427289131915,-4.65281882031711,3.29345617594834e-06
"flavor_descrKARAMEL SUTRA",-0.0316113890092487,0.00848364527306053,-3.72615638582029,0.00019491093267104
"flavor_descrMAGIC BROWNIES",-0.0412340068631925,0.0123095529615745,-3.34975664769537,0.000810192803702817
"flavor_descrMINT CHC CHUNK",0.0127853754890581,0.0138661471639309,0.922056814910773,0.356509111713275
"flavor_descrNEAPOLITAN DYNAMITE",-0.0250127873861505,0.0125599609791562,-1.99147015087549,0.0464416396189961
"flavor_descrNEW YORK SUPER FUDGE CHUNK",-0.0331175531087146,0.00811332716939863,-4.08187078090791,4.48332709159417e-05
"flavor_descrOATMEAL COOKIE CHUNK",-0.0230802111694335,0.0126699441516476,-1.82165058450018,0.0685216724624694
"flavor_descrONE CSK BROWNIE",-0.0552211058477773,0.00905974750174855,-6.09521466653674,1.11119804850633e-09
"flavor_descrOXFORD MINT CHC COOKIE",-0.0254024905008742,0.0104415519647345,-2.43282709186039,0.0149894138239068
"flavor_descrPB CUP",-0.0273917516157809,0.00829651684523115,-3.30159657682437,0.000962902138743122
"flavor_descrPB TRUFFLE",-0.0585093773845423,0.147469716772657,-0.396755202796935,0.691551859014532
"flavor_descrPHISH FOOD",-0.0191777770982911,0.00806340957173945,-2.37837070381556,0.0173978698293896
"flavor_descrPISTACHIO PISTACHIO",-0.0273625633694526,0.00852037051560915,-3.21142881278753,0.00132267657314868
"flavor_descrPUMPKIN CSK",-0.0965602365014128,0.0139764637244729,-6.90877452301006,5.02279008239866e-12
"flavor_descrRSP CHC CHUNK",0.000450812675871231,0.0178186988630773,0.0252999772506046,0.979815922884332
"flavor_descrSMORES",0.00719880996358965,0.0123221373634101,0.584217636216758,0.559079922766452
"flavor_descrSTR",0.0482053142189628,0.0449004134144318,1.07360513084872,0.283011541334465
"flavor_descrSTR CSK",-0.0425388843701325,0.00922598631588171,-4.61076820555278,4.03452756842437e-06
"flavor_descrSTRAWBERRIES & CREAM",-0.0193492107564104,0.0413753007333204,-0.46765124152507,0.640038673869003
"flavor_descrSWEET CREAM & COOKIES",0.0342785324792161,0.0363481625618493,0.943060943476537,0.34566014792372
"flavor_descrTRIPLE CARAMEL CHUNK",-0.0404663889251318,0.0170939503035133,-2.3672930017127,0.0179273938436214
"flavor_descrTURTLE SOUP",-0.0541432763844809,0.0122556770845651,-4.41781192592528,1.00183777760981e-05
"flavor_descrVAN CARAMEL FUDGE",-0.0424817244961054,0.0108470851471061,-3.91641845896628,9.01470121264806e-05
"flavor_descrVERMONTY PYTHON",-0.0229930486508627,0.0143105614993732,-1.60671883153361,0.108130495950435
"flavor_descrW-N-C-P-C",-0.0335837382908966,0.00858581821199382,-3.91153614736245,9.19880093771249e-05
"flavor_descrWHITE RUSSIAN",0.196261650992203,0.147462571927681,1.33092518614456,0.183227502539535
"size1_descr32.0 MLOZ",0.310815378409937,0.00807893040739125,38.4723425919819,2.16032300735363e-313
"household_income",0.00208476200661297,0.000203161933983992,10.2615778740186,1.1939853608649e-24
"household_size",-0.004076019144179,0.000883738724227304,-4.61224458364983,4.00599672321136e-06
"usecoupTRUE",-0.0709607996473018,0.00454182973569535,-15.6238352771359,9.90480820351988e-55
"couponper1",0.068342024554094,0.00270517530751807,25.2634364819765,7.87602492083367e-139
"regionCentral",-0.0212732056761528,0.0031092722717577,-6.84186002923663,8.02361861373148e-12
"regionSouth",-0.0247856114571919,0.00295809133180274,-8.37892028238591,5.65943921386231e-17
"regionWest",-0.0184250368574223,0.00300716992998882,-6.12703548066231,9.10609188996794e-10
"marriedTRUE",-0.0113291977802874,0.00256328241210148,-4.41980084863113,9.92669925698764e-06
"raceblack",0.0123060976826458,0.00400435349359532,3.07317965367656,0.0021205142520564
"raceasian",-0.00261654931024751,0.00624763368219089,-0.418806454307025,0.675361699889826
"raceother",0.0154499068784588,0.0058015945991729,2.66304489470213,0.00774937734632291
"hispanic_originTRUE",-0.00102695392209192,0.00533614797586346,-0.192452294564741,0.847389719512566
"microwaveTRUE",-0.0350319253386725,0.00756370823923345,-4.63158073138776,3.64972743337736e-06
"dishwasherTRUE",-0.0017802586783319,0.00257206207589376,-0.692152298740023,0.488849038883836
"sfhTRUE",-0.00915375232674439,0.00249850753687881,-3.66368809844755,0.000249196456962689
"internetTRUE",0.00649331207429406,0.00280009115622949,2.31896453079683,0.0204061269413161
"tvcableTRUE",0.00597009564381219,0.00215293705202753,2.7730005566999,0.00555890436722825
